BANC,FAFB,MCNS
720575941575598735,720575940614963359,817681
720575941549703457,720575940629886524,12092
720575941564329063,720575940611246810,15407
720575941542536796,720575940611622826,802898
720575941652307729,720575940643754862,43368
720575941539207410,720575940620699887,20788
720575941453030983,720575940620103595,75971
720575941656503376,720575940624494058,56878
720575941565308423,720575940608809006,103311
720575941575484047,720575940615647500,38984
720575941431478520,720575940629418199,110517
720575941447291924,720575940615905430,909696
720575941572516873,720575940616018956,24410
720575941607093357,720575940615954070,807702
720575941535245034,720575940627429907,524296
720575941441848411,720575940623003653,13926
720575941392810902,720575940604828076,11706
720575941591342732,720575940621814092,11241
720575941526906114,720575940607875420,46020
720575941473861728,720575940624145159,100681
720575941688006156,720575940618918173,42696
720575941585258630,720575940619097905,19660
720575941450240349,720575940629258026,139218
720575941575602575,720575940626961241,11367
720575941564155904,720575940626960536,45063
720575941510800850,720575940636828334,11191
720575941525936717,720575940630665263,816793
720575941574973705,720575940619771375,533442
720575941600742697,720575940632504874,519878
720575941557573028,720575940629148007,18616
720575941507621445,720575940638814286,32461
720575941439489599,720575940632028216,10883
720575941426228820,720575940634862943,561511
720575941476902452,720575940629508726,803948
720575941565430279,720575940642876320,818178
720575941657854488,720575940619898526,14786
720575941566642734,720575940631872537,30827
720575941651087381,720575940613271219,808634
720575941427942996,720575940640491917,574147
720575941578867793,720575940634826676,821276
720575941611218662,720575940638662708,67972
720575941638793759,720575940624022015,119245
720575941471705611,720575940623458348,210615
720575941607583853,720575940627418387,14103
720575941625228140,720575940605937097,813418
720575941465190998,720575940631930828,809372
720575941588646284,720575940615711638,52681
720575941535001432,720575940637281077,818386
720575941479859330,720575940627478760,812918
720575941502372914,720575940629644291,108016
720575941663305084,720575940630373591,45364
720575941484451590,720575940627265274,808262
720575941553129473,720575940629303302,906450
720575941477164593,720575940632228578,804677
720575941552622398,720575940628070419,530982
720575941607799405,720575940637624165,808487
720575941488057808,720575940642320544,15102
720575941465672214,720575940630428175,802850
720575941643222216,720575940628802069,24595
720575941515882851,720575940619889499,12935
720575941477706804,720575940631140608,543114
720575941595495975,720575940614250975,803995
720575941438884114,720575940611406042,16941
720575941580155125,720575940618469009,36379
720575941490884809,720575940617407030,100023
720575941629981478,720575940620572781,539234
720575941576460889,720575940622827751,809727
720575941515579747,720575940624882407,22471
720575941393708438,720575940623288260,28192
720575941536585754,720575940624888812,512547
720575941603647673,720575940629046377,26915
720575941440577365,720575940608430091,18148
720575941730126635,720575940616934289,10395
720575941536420072,720575940611344078,28003
720575941576223670,720575940653553654,555875
720575941546618985,720575940621683494,184894
720575941477311774,720575940614361041,508788865
720575941516868243,720575940633126983,160480
720575941511849036,720575940635973743,50717
720575941433032718,720575940627723657,21093
720575941474212650,720575940623982323,32507
720575941523475531,720575940624346760,814815
720575941598542236,720575940627110226,511955
720575941574965001,720575940627565059,540420
720575941447520276,720575940622474868,812343
720575941689225368,720575940618210614,806203
720575941475275818,720575940625004034,555705
720575941486003010,720575940606952028,29325
720575941499538827,720575940625749777,915065
720575941687373942,720575940612562525,26458
720575941506438972,720575940645693476,47578
720575941401613091,720575940622809747,64709
720575941551828542,720575940619451608,12138
720575941589278348,720575940619390400,810577
720575941408678830,720575940646897796,10692
720575941595114454,720575940632522848,812164
720575941470910528,720575940608857099,15812
720575941591546252,720575940620488384,912354
720575941496725120,720575940611852072,12355
720575941553676423,720575940632107091,807491
720575941485757190,720575940625972261,516617
720575941600595497,720575940614870066,145433
720575941547615624,720575940621599245,902443
720575941431461335,720575940647223940,808080
720575941409118123,720575940626233512,14930
720575941494490311,720575940611352014,807729
720575941566778471,720575940628336134,811009
720575941438646290,720575940615015976,51712
720575941563462824,720575940623135512,804245
720575941645338529,720575940611984789,33471
720575941450715982,720575940624064253,906376
720575941542499357,720575940613843522,806411
720575941590840062,720575940632873261,66069
720575941593093157,720575940624994830,10981
720575941594465669,720575940618889931,14789
720575941643508562,720575940626001182,813018
720575941536254657,720575940623697101,22117
720575941452054835,720575940623043069,22041
720575941462170256,720575940618420820,814981
720575941466743062,720575940627249541,28691
720575941633317024,720575940629268930,803854
720575941612022445,720575940618149686,24666
720575941658197016,720575940619215701,85619
720575941617731285,720575940627319683,19467
720575941474133600,720575940630076672,12342
720575941537856739,720575940627956240,16458
720575941409274795,720575940620319085,805579
720575941567594098,720575940624685070,17344
720575941530916483,720575940627779983,24202
720575941468329847,720575940607387314,516225
720575941615425945,720575940627036943,14254
720575941598907072,720575940627311106,814592
720575941520405175,720575940620020534,76490
720575941433051406,720575940609221700,20576
720575941722024506,720575940625740346,13388
720575941445096362,720575940623916071,65577
720575941431354543,720575940630460975,23138
720575941604286966,720575940614356264,28571
720575941483293693,720575940630716286,909419
720575941431277705,720575940623779327,12465
720575941561531181,720575940626919144,522407
720575941351174704,720575940612853913,808483
720575941473203808,720575940618843205,814201
720575941536139457,720575940641425293,36873
720575941392919044,720575940628769768,514555
720575941469983453,720575940625273886,804036
720575941536244161,720575940608698716,911819
720575941496794496,720575940637019994,16077
720575941463890445,720575940644061550,807993
720575941551131198,720575940626531177,813661
720575941536838898,720575940628809319,36686
720575941540708477,720575940623381941,17554
720575941495651454,720575940631342551,905004
720575941547347316,720575940626798736,108777
720575941448326676,720575940621199966,806711
720575941612909331,720575940623048584,911212
720575941547444404,720575940609463620,911071
720575941548359816,720575940627614199,101931
720575941539846269,720575940623773709,25945
720575941482329027,720575940631422019,539151
720575941516994963,720575940612489768,86299
720575941462262468,720575940617013554,17524
720575941626282634,720575940646156420,52441
720575941519164087,720575940617852299,909148
720575941554540698,720575940653561249,56647
720575941459246788,720575940614590732,14233
720575941586252934,720575940622697992,92216
720575941474240298,720575940628644507,56398
720575941645148024,720575940659970177,30384
720575941559070579,720575940622129791,53831
720575941658492240,720575940633978007,46814
720575941593263912,720575940629142650,805378
720575941526741837,720575940639895203,45435
720575941564797847,720575940626279742,17059
720575941515769347,720575940627118282,530085
720575941442226127,720575940644518167,51215
720575941470664055,720575940628158184,61546
720575941548903741,720575940627536259,46644
720575941515887107,720575940619934411,71793
720575941506277436,720575940637671342,45649
720575941507420485,720575940626579333,15374
720575941587449924,720575940639235300,807928
720575941538876565,720575940624391562,102314
720575941552239422,720575940611056482,523860
720575941473899067,720575940627563651,88083
720575941440438463,720575940617986683,25829
720575941604251126,720575940626643914,525407
720575941408841007,720575940608607836,940391
720575941605191102,720575940628158407,15400
720575941495044990,720575940609531913,56983
720575941566756602,720575940610847973,10930
720575941546788385,720575940623930623,63285
720575941691652504,720575940608212548,812280
720575941626170267,720575940628577388,816183
720575941529266820,720575940620508075,511862
720575941606851949,720575940646039092,13251
720575941533073674,720575940628029180,33033
720575941479474818,720575940619310757,517424
720575941565158919,720575940622209048,904744
720575941533275365,720575940617987113,806006
720575941686748172,720575940621712500,120242
720575941564904551,720575940633246871,805393
720575941493528752,720575940616616514,170947
720575941508461441,720575940613335975,814132
720575941490675765,720575940625967132,21251
720575941593225768,720575940619202497,18424
720575941528316548,720575940613863599,80789
720575941526091778,720575940614417676,813090
720575941474760241,720575940627801877,801094
720575941700316378,720575940611564979,16482
720575941546584169,720575940632317009,904900
720575941633353632,720575940612739989,537601
720575941554393345,720575940635960183,80674
720575941572855439,720575940631111983,17767
720575941569866740,720575940631299923,133678
720575941461471955,720575940634862431,44187
720575941577846361,720575940637980894,535824
720575941594869029,720575940625961049,23189
720575941496874107,720575940621899870,31327
720575941552011838,720575940621021278,810139
720575941547044980,720575940627443996,10504
720575941514001617,720575940629766095,11169
720575941450785870,720575940628382607,20408
720575941653625617,720575940609881611,14951
720575941628359737,720575940611247085,910090
720575941514702170,720575940627783174,812555
720575941532866277,720575940614609831,40934
720575941657308184,720575940624236746,809188
720575941563342226,720575940622734106,12802
720575941408087087,720575940632443804,51959
720575941508545058,720575940622329782,908343
720575941593905959,720575940628343685,63120
720575941595708965,720575940625050686,804507
720575941670068913,720575940632414615,81153
720575941579321845,720575940622900257,534132
720575941644072136,720575940631608623,54784
720575941474038368,720575940631289135,73245
720575941552068743,720575940616888020,908029
720575941491206350,720575940622287031,74742
720575941599681833,720575940606325094,18229
720575941479488224,720575940626859283,813289
720575941564296850,720575940613068083,804284
720575941571860894,720575940648240260,38945
720575941470772491,720575940608828425,814233
720575941549686561,720575940623165965,906083
720575941624972955,720575940620262420,806957
720575941533865603,720575940607672003,513651
720575941732677419,720575940624495644,809935
720575941564284470,720575940635104879,810555
720575941535942682,720575940648635524,808727
720575941475349278,720575940611828594,14569
720575941462028944,720575940640852056,902395
720575941506553509,720575940612323025,811175
720575941489796300,720575940634595951,807353
720575941552237567,720575940604125286,801860
720575941498180425,720575940633145903,519262
720575941626095050,720575940629988099,20503
720575941449894581,720575940621116510,15063
720575941499336417,720575940636783022,38839
720575941643940257,720575940618066555,936031
720575941566409782,720575940629899011,156076
720575941438606354,720575940632526440,131272
720575941659066704,720575940627344783,909252
720575941481746173,720575940631084589,45593
720575941642894181,720575940632113439,120734
720575941586425222,720575940632839272,512593
720575941499171041,720575940622405236,806148
720575941529262027,720575940625972867,935467
720575941435103776,720575940633864417,37163
720575941604206070,720575940620212206,812952
720575941476823092,720575940626236029,109547
720575941632785083,720575940632825913,31304
720575941438141919,720575940624466440,13249
720575941607730797,720575940611527794,12742
720575941473770592,720575940613821290,40486
720575941491467980,720575940631933527,88134
720575941431909985,720575940604401342,810511
720575941574618633,720575940617892635,912402
720575941615497113,720575940647966004,803276
720575941503048498,720575940615539818,33474
720575941473365088,720575940625511762,36631
720575941533165234,720575940626104522,804875
720575941527145497,720575940627715721,814100
720575941598252224,720575940638719807,34557
720575941480742339,720575940631123820,123654
720575941392113668,720575940620073711,17033
720575941568835834,720575940632587932,27832
720575941645350049,720575940609004920,811976
720575941536741914,720575940625692396,802263
720575941633139872,720575940633995181,808692
720575941624372938,720575940615675732,903519
720575941479493795,720575940618896385,76551
720575941599076905,720575940625253066,936262
720575941563413650,720575940636898270,808423
720575941637985909,720575940608253961,924612
720575941518341036,720575940625395864,513879
720575941514040908,720575940620291286,46842
720575941477432350,720575940609540984,806873
720575941565805975,720575940632362258,106655
720575941432537047,720575940630598927,13427
720575941508640129,720575940640367925,148634
720575941413063828,720575940636479863,807920
720575941450008245,720575940643619636,809665
720575941589502020,720575940619670352,806603
720575941431287137,720575940637101413,906366
720575941624547786,720575940621059137,579926
720575941652545045,720575940607858889,140432
720575941595817605,720575940614784117,258572
720575941441432015,720575940630923551,35398
720575941521577139,720575940630643474,801304
720575941480668034,720575940628825348,812495
720575941564934039,720575940623563544,89347
720575941491825895,720575940626412298,111073
720575941438139922,720575940633778583,45539
720575941491376078,720575940621852554,163274
720575941477754420,720575940620055454,815031
720575941498674555,720575940634559339,20509
720575941535901722,720575940624054792,84323
720575941550716478,720575940629224492,814684
720575941457683615,720575940634505241,39291
720575941514822035,720575940640445648,21296
720575941416858652,720575940653280502,82596
720575941407876143,720575940622805065,911505
720575941484630669,720575940639630325,809388
720575941543230237,720575940640430755,524337
720575941609705449,720575940616301083,905918
720575941510148023,720575940620464331,811078
720575941501530251,720575940625946567,807933
720575941650037269,720575940623362889,906481
720575941435350414,720575940618388614,33865
720575941598568860,720575940621025901,165905
720575941438651948,720575940631173805,802246
720575941516860563,720575940619858928,25754
720575941528108932,720575940635701103,20113
720575941629713958,720575940639012836,45095
720575941408992303,720575940632574946,803308
720575941528308868,720575940627480092,65601
720575941441694555,720575940627282705,22266
720575941426928980,720575940623759754,512350
720575941550863422,720575940630149367,36452
720575941513976908,720575940625494349,533917
720575941412955759,720575940639230286,807263
720575941548274548,720575940626716824,80060
720575941481142351,720575940612304994,44371
720575941502105650,720575940632348975,30510
720575941496906368,720575940630211584,534052
720575941569611378,720575940627016762,86630
720575941615180953,720575940633427681,27413
720575941537146005,720575940623647159,88012
720575941576797288,720575940633037260,130704
720575941537691797,720575940629608663,522370
720575941658006808,720575940647586681,48618
720575941596386437,720575940622632831,89961
720575941479505743,720575940625281771,103677
720575941600999977,720575940604188384,159329
720575941564650496,720575940630016709,804741
720575941527146009,720575940636886639,811584
720575941497896610,720575940617375883,100755
720575941504753458,720575940622296573,561160
720575941508618512,720575940645369892,103073
720575941427945300,720575940602885344,23446
720575941519613656,720575940619347803,16474
720575941496149703,720575940627124873,556721
720575941460792260,720575940625396252,12553
720575941536459235,720575940633560290,35842
720575941658896152,720575940634727137,809040
720575941520767991,720575940620532400,27017
720575941465596438,720575940632437561,118321
720575941456700141,720575940660507009,64575
720575941518308056,720575940630598487,521463
720575941517126316,720575940611895987,78584
720575941515207059,720575940645022260,121277
720575941451964999,720575940627468821,800295
720575941522305783,720575940625520147,58481
720575941619455359,720575940622971085,803161
720575941584765023,720575940616878370,516132
720575941461084356,720575940631964175,909328
720575941547488180,720575940618486721,19345
720575941585790086,720575940613070632,173920
720575941592759915,720575940634997399,817845
720575941484163325,720575940625692444,515748
720575941598443676,720575940617692811,555114
720575941471628811,720575940631545960,39488
720575941533581955,720575940626737937,61584
720575941630661536,720575940626715208,92543
720575941594141477,720575940636481716,97038
720575941506125372,720575940609876036,29216
720575941561749805,720575940624744375,50858
720575941550031476,720575940630328315,17492
720575941553927681,720575940617193009,17959
720575941496045129,720575940629402711,52155
720575941631437804,720575940612323811,63692
720575941527403686,720575940627426835,21280
720575941490590924,720575940605637920,49783
720575941680537789,720575940639136600,28895
720575941573796859,720575940624693908,11362
720575941629935654,720575940632461098,34212
720575941569951988,720575940638742249,810034
720575941645203617,720575940631774226,518986
720575941657165592,720575940644658212,67704
720575941469968349,720575940626282954,521667
720575941573837051,720575940633670573,809393
720575941473710907,720575940627624317,54485
720575941533629272,720575940628273468,36954
720575941556437732,720575940630589655,112567
720575941391572996,720575940626690078,814593
720575941544982716,720575940614855436,813991
720575941539309042,720575940622063913,17934
720575941490903271,720575940633345567,12674
720575941555500801,720575940628470119,908186
720575941491055820,720575940617272098,512986
720575941536047370,720575940619699068,814825
720575941644063864,720575940615027710,16446
720575941630617314,720575940636730981,816643
720575941489065673,720575940608666325,35491
720575941580112629,720575940620320094,28534
720575941412582804,720575940620898324,914653
720575941480353504,720575940627158289,810359
720575941546350524,720575940627833347,105277
720575941516915372,720575940628793856,35448
720575941563864886,720575940621291102,153353
720575941438719967,720575940625761411,17306
720575941481914298,720575940626181096,814518
720575941534028010,720575940639841870,54274
720575941497892770,720575940627753103,11282
720575941526728450,720575940620779105,804149
720575941533097394,720575940612594325,817408
720575941504675122,720575940630893312,20595
720575941479605122,720575940640856664,45112
720575941443852970,720575940617562072,121414
720575941662516280,720575940624134280,143709
720575941417154588,720575940624186602,14575
720575941610015306,720575940621207517,24779
720575941574956041,720575940627811825,31650
720575941574727945,720575940645114824,26982
720575941594941477,720575940635981759,30938
720575941702753754,720575940630667052,811660
720575941573351945,720575940620570989,910961
720575941579498997,720575940613799446,814561
720575941408363950,720575940605135038,35619
720575941460893139,720575940621308912,817733
720575941555018241,720575940646734883,103776
720575941413797780,720575940617980295,61638
720575941607727469,720575940640162237,77344
720575941432165473,720575940619058517,84864
720575941553112065,720575940631931922,530932
720575941459447366,720575940617295321,818326
720575941435546510,720575940621124016,55493
720575941496789632,720575940615904802,25561
720575941491537840,720575940611599530,533202
720575941483869882,720575940632262227,520135
720575941499169186,720575940629423415,44576
720575941585531782,720575940613628530,63501
720575941623850122,720575940626032917,18565
720575941586068102,720575940617397433,23704
720575941540502909,720575940611591907,808749
720575941655167961,720575940617013810,59019
720575941478210625,720575940632404555,23836
720575941516997523,720575940612901613,25167
720575941603435193,720575940629439994,93110
720575941523667275,720575940637436814,802471
720575941542143068,720575940614018060,144787
720575941492970878,720575940635539263,806036
720575941513582682,720575940605411104,910603
720575941473491040,720575940627329161,70640
720575941565919079,720575940624377638,810210
720575941608756713,720575940620243476,157315
720575941513913041,720575940607471538,906485
720575941503527484,720575940631316840,38753
720575941504500930,720575940620024534,515293
720575941626531466,720575940619509942,809813
720575941573059400,720575940626586570,805631
720575941596474993,720575940629861163,811231
720575941506085214,720575940615559766,53204
720575941658837016,720575940625848834,910376
720575941438346837,720575940633206924,238224
720575941611438410,720575940659739777,45245
720575941569031674,720575940625347220,16500
720575941351909680,720575940638533693,71069
720575941517436588,720575940611997146,812506
720575941452122695,720575940619627611,808157
720575941625982154,720575940643829960,15703
720575941528018342,720575940605861310,903366
720575941539817933,720575940641528973,817395
720575941526014564,720575940620346673,45685
720575941490868021,720575940649318009,145992
720575941574697871,720575940631207388,141776
720575941597636508,720575940636943935,33060
720575941617757909,720575940650177145,74290
720575941662660732,720575940618917953,810128
720575941558406159,720575940625071132,555256
720575941580986233,720575940609754926,906299
720575941596494236,720575940619317441,21730
720575941658531152,720575940632255116,24492
720575941504427714,720575940629310875,93121
720575941593785195,720575940630356844,802387
720575941502407730,720575940614276845,810227
720575941554171675,720575940625719562,59262
720575941556351972,720575940636783727,152852
720575941659273552,720575940632827752,812622
720575941494960254,720575940630678867,810947
720575941565264023,720575940626684803,40471
720575941535714280,720575940630683383,869369
720575941481638851,720575940627881728,44432
720575941438534674,720575940616475393,407092
720575941459213727,720575940624864492,67715
720575941439646015,720575940628226012,133449
720575941506260293,720575940628339611,523875
720575941574271496,720575940615624961,25636
720575941534900824,720575940606548326,75433
720575941498736034,720575940633827935,22805
720575941652010261,720575940627969359,907973
720575941612923801,720575940637606982,546225
720575941539143573,720575940627264002,23301
720575941430591625,720575940626293379,68152
720575941490463541,720575940616796121,126542
720575941540059597,720575940629207055,181056
720575941435921170,720575940620014129,802561
720575941611563753,720575940632718944,519786
720575941600380969,720575940626783881,818605
720575941542696540,720575940638132814,803030
720575941593428694,720575940628109328,807819
720575941503134658,720575940633213132,817537
720575941555402835,720575940636839487,133740
720575941488663093,720575940608287701,122141
720575941574941597,720575940623144340,41883
720575941500093090,720575940610071108,805388
720575941574248886,720575940628654927,803027
720575941548858657,720575940629724367,12429
720575941469123805,720575940625777753,908289
720575941430323809,720575940619296688,803773
720575941688058892,720575940618687508,65058
720575941539826637,720575940610324629,544664
720575941613673625,720575940603272038,805772
720575941556381668,720575940625484069,168670
720575941593868327,720575940624553736,802527
720575941639495285,720575940627804945,806248
720575941536138762,720575940621336596,41520
720575941574950287,720575940640864675,51579
720575941688134412,720575940623437547,13267
720575941595334183,720575940623378101,109799
720575941431847895,720575940623161869,118633
720575941688904822,720575940631109451,813578
720575941439875791,720575940627905027,548729
720575941438622764,720575940606675150,62920
720575941604108734,720575940614678237,521668
720575941573687880,720575940611756723,805328
720575941533375576,720575940628627052,808554
720575941557268004,720575940642422261,125014
720575941527720068,720575940630000399,109393
720575941576255926,720575940646292276,515157
720575941594612775,720575940628370182,11723
720575941463073549,720575940643035336,801254
720575941687758348,720575940638774606,803516
720575941507588421,720575940621658829,15576
720575941565072694,720575940610626802,25067
720575941431687672,720575940618259269,813920
720575941651223317,720575940616423218,108041
720575941548396660,720575940625654164,815222
720575941473300576,720575940629186921,138339
720575941653713937,720575940650554614,95645
720575941430730377,720575940640665077,30441
720575941601827257,720575940632561633,18122
720575941665246707,720575940638639950,52660
720575941499080161,720575940661193345,63148
720575941514315587,720575940604337696,805674
720575941497263483,720575940624226440,53677
720575941599875369,720575940605667458,23904
720575941504327077,720575940626833764,20847
720575941457500912,720575940629951191,913882
720575941439546431,720575940621778646,802467
720575941563492498,720575940625524455,10073
720575941488181456,720575940633267620,10012
720575941462826640,720575940640356661,806496
720575941452092538,720575940631477878,138969
720575941548820029,720575940623769783,12194
720575941550548340,720575940618640212,151577
720575941449924445,720575940625216954,49308
720575941541903133,720575940626006716,107337
720575941452427386,720575940634284686,909326
720575941630615712,720575940624133895,79180
720575941526968932,720575940617514397,801836
720575941612742364,720575940615362866,515956
720575941485589314,720575940630022223,13564
720575941486620482,720575940626493461,517832
720575941551963783,720575940622461823,14422
720575941525015810,720575940625950553,102433
720575941631609029,720575940629511174,166528
720575941625968586,720575940612283601,130279
720575941639993631,720575940636924479,19905
720575941416269340,720575940615480610,530953
720575941480354272,720575940628680297,676893250
720575941652633561,720575940645918340,31398
720575941613557267,720575940625260180,192514
720575941610338406,720575940619249310,802291
720575941473377595,720575940632775646,802425
720575941556245924,720575940628445242,54741
720575941528732344,720575940620703727,53421
720575941575463862,720575940624621968,38816
720575941553415451,720575940616658549,513791
720575941618655615,720575940629098028,21739
720575941687950555,720575940604692354,155023
720575941430711689,720575940628088189,24289
720575941408907691,720575940614254860,806571
720575941549554721,720575940616382865,802835
720575941520174771,720575940611361378,541570
720575941586630110,720575940617682177,807354
720575941509536016,720575940621992257,925137
720575941615516313,720575940616571938,126859
720575941426847316,720575940626076455,803670
720575941431813847,720575940612281907,909417
720575941452985651,720575940621006672,16550
720575941574184335,720575940617534110,19206
720575941529739704,720575940611233234,911187
720575941540803932,720575940613969055,31977
720575941564885095,720575940620727022,225414
720575941638404213,720575940618715421,801532
720575941580041717,720575940607041154,912637
720575941452148649,720575940636197227,25597
720575941632991685,720575940627096472,904741
720575941410343339,720575940637461389,284924
720575941438289749,720575940616637670,84277
720575941518792876,720575940625675978,115678
720575941723791674,720575940626227774,805367
720575941529156484,720575940629613809,12320
720575941590338088,720575940626253086,43466
720575941461446355,720575940624963220,531278
720575941546866876,720575940623330269,807565
720575941489304629,720575940624562982,55408
720575941578885201,720575940616708108,88153
720575941529756619,720575940625602608,813253
720575941446181652,720575940618716699,534013
720575941644959864,720575940612847218,801671
720575941430345208,720575940621111687,811153
720575941542654044,720575940609821195,105394
720575941575353999,720575940628814586,28461
720575941636363637,720575940623396488,30886
720575941595806085,720575940620429317,42837
720575941501059723,720575940635204448,94121
720575941592736875,720575940624992258,125469
720575941588156414,720575940644419784,141129
720575941582599775,720575940634990873,818877
720575941392067588,720575940623229735,128362
720575941594812273,720575940617863222,68832
720575941564642304,720575940630204098,55057
720575941393715606,720575940611882725,13710
720575941526730852,720575940611609306,16936
720575941625976458,720575940616779403,19303
720575941583883359,720575940620129415,803772
720575941559986803,720575940635517024,518087
720575941505292197,720575940611122274,88194
720575941478447466,720575940610397718,1055738183
720575941515171331,720575940632559502,804058
720575941606591085,720575940610681829,23009
720575941608483914,720575940644326816,103101
720575941656565584,720575940624104888,40833
720575941595282309,720575940629231888,817709
720575941411290539,720575940624945808,62072
720575941441167451,720575940626633730,15620
720575941469379191,720575940622214920,40207
720575941557268239,720575940639621702,43326
720575941598924444,720575940614418863,58821
720575941441295311,720575940641392080,89334
720575941534604632,720575940632682444,58154
720575941548589117,720575940626828292,26948
720575941557487396,720575940618582592,806542
720575941612590745,720575940640606371,54915
720575941573387592,720575940618717611,71315
720575941588956484,720575940611266402,55777
720575941475327530,720575940632393372,809443
720575941556943524,720575940625527020,147053
720575941478833999,720575940629243910,536319
720575941658870808,720575940629667710,100214
720575941470896139,720575940630888044,23391
720575941566482990,720575940631059501,46859
720575941430262703,720575940644259876,123566
720575941534580568,720575940619551366,19624
720575941455088691,720575940633938145,32144
720575941614976153,720575940628090055,13975
720575941644915912,720575940626216890,59428
720575941565381986,720575940611223445,30134
720575941564237970,720575940618868381,15793
720575941641037413,720575940629424939,133530
720575941690020827,720575940637183165,153474
720575941498646857,720575940606004866,98108
720575941529173124,720575940621595937,902431
720575941494430919,720575940630901835,55928
720575941429888649,720575940628640719,133872
720575941575335311,720575940625038488,531708
720575941452034887,720575940613478166,908297
720575941503735490,720575940617790548,15463
720575941548007485,720575940630214564,145719
720575941544781236,720575940609392220,59559
720575941507275287,720575940640723675,560034
720575941534562994,720575940646516590,519267
720575941532480229,720575940631093519,30203
720575941691009755,720575940622893662,118983
720575941527158297,720575940640179645,802927
720575941519234520,720575940633218956,39375
720575941460847059,720575940630218967,26268
720575941453125939,720575940634155731,57245
720575941461416659,720575940647397684,551924
720575941599461161,720575940633194431,37421
720575941517403308,720575940626484329,43041
720575941519467630,720575940611573368,62505
720575941549960052,720575940631298119,62522
720575941687911151,720575940661277313,66359
720575941506364732,720575940621608363,803721
720575941560220275,720575940633201223,174450
720575941562349319,720575940616001642,97459
720575941561430829,720575940647122996,195815
720575941484806662,720575940632229836,556719
720575941469721053,720575940622541448,109885
720575941576744374,720575940620700038,30086
720575941403865456,720575940627027774,44265
720575941468841995,720575940614433576,144568
720575941440888155,720575940628268843,820741
720575941460852947,720575940636768090,52044
720575941657329488,720575940632610017,47902
720575941670439591,720575940627358210,106664
720575941494635207,720575940617503837,33177
720575941448346644,720575940633199756,12314
